name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h
Bitcoin,BTC,$114569.57,0.03,0.98,-3.26,$2280273756548.31,$56041374916.97
Ethereum,ETH,$3668.23,0.34,2.44,-4.96,$442789872926.35,$27128018038.32
XRP,XRP,$2.98,0.36,2.25,-4.86,$176796665699.91,$4451322935.42
Tether USDt,USDT,$1,0,0.03,0.01,$164064120305.68,$85830677990.88
BNB,BNB,$767.13,0.02,2.26,-3.77,$106851675593.19,$1947587589.43
Solana,SOL,$167.44,0.29,3.26,-6.95,$90274542098.66,$3712635449.97
USDC,USDC,$1,0.01,0.01,-0.01,$64677287342.41,$10714280231.34
TRON,TRX,$0.34,-0.04,1.92,3.46,$32032477108.78,$827207999.11
Dogecoin,DOGE,$0.21,0.76,4.46,-7.7,$30866236752.94,$1272027348.92
Cardano,ADA,$0.74,0.4,3.5,-5.2,$26146189526.15,$714359301.11
Hyperliquid,HYPE,$37.84,0.26,1.94,-11.79,$12636148056.23,$165672389.77
Stellar,XLM,$0.4,0.93,3.81,-5.09,$12530157099,$282741067.74
Sui,SUI,$3.47,0.49,3.84,-9.54,$12184790082.63,$949919639.81
Bitcoin Cash,BCH,$570.84,0.24,2.48,-2.18,$11364285348.98,$426332283.23
Chainlink,LINK,$16.7,0.62,3.78,-7.09,$11326392179.71,$358706945.35
Hedera,HBAR,$0.24,0.38,3.85,-10.26,$10311142766.19,$349353734.16
Ethena USDe,USDe,$1,-0.01,0,-0.02,$9646594597.55,$329052140.14
Avalanche,AVAX,$22.09,0.34,2.02,-6.74,$9327018164.21,$342047107.23
Litecoin,LTC,$121.63,1.76,2.64,10.1,$9263464358.01,$930900885.38
UNUS SED LEO,LEO,$8.99,0.01,-0.06,0.47,$8302212607.34,$1289097.01
Toncoin,TON,$3.29,0.76,4.58,-4.36,$7953825968.51,$256006379.55
Shiba Inu,SHIB,$0,0.47,3.64,-5.23,$7280332377.9,$138679287.09
Uniswap,UNI,$9.72,0.61,3.41,-3.87,$6114138339.6,$276030700.92
Polkadot,DOT,$3.67,0.46,2.86,-5.23,$5882881142.58,$181808940.83
Dai,DAI,$1,0,0.01,0.01,$5365661732.11,$20913119946.75
Monero,XMR,$284.78,0.24,-1.43,-9.48,$5253313924.61,$106210870.51
Bitget Token,BGB,$4.36,0.25,2.32,-3.99,$4973284346.06,$86765227.84
Cronos,CRO,$0.14,0.4,5.81,-2.21,$4679889750.71,$35763701.14
Pepe,PEPE,$0,0.42,5.43,-8.35,$4434070677.79,$472368353.03
Aave,AAVE,$264.41,0.48,4.77,-5.08,$4021771244.24,$307479493.13
Ethena,ENA,$0.6,1.35,8.29,-4.12,$4003902285.17,$644922523.96
Bittensor,TAO,$343.56,0.57,2.39,-8.71,$3297356009.25,$85721384.37
NEAR Protocol,NEAR,$2.49,0.78,4.27,-7.71,$3095171112.47,$154024936.89
Ethereum Classic,ETC,$20.22,0.46,2.21,-6.87,$3094275652.31,$111103582.58
Ondo,ONDO,$0.94,0.3,3.85,-3.1,$2961095465.22,$108905249.1
Mantle,MNT,$0.88,0.41,-6.74,15.55,$2946450573.27,$366164798.7
Aptos,APT,$4.24,0.38,1.39,-7.21,$2849492802.43,$117244495.16
Internet Computer,ICP,$5.1,0.44,2.27,-7.39,$2733336682.7,$60121708.43
OKB,OKB,$45.09,0.05,0.2,-5.8,$2705268642.12,$5616768.8
Pi,PI,$0.35,-1.2,2.73,-17.63,$2702138998.13,$47872752.92
POL (prev. MATIC),POL,$0.23,-0.2,10.55,5.14,$2420719072.88,$196700143.48
Kaspa,KAS,$0.09,0.44,3.66,-7.21,$2319312879.19,$54437680.7
Pudgy Penguins,PENGU,$0.04,0.95,8.72,-4.53,$2224845086.56,$530611675.25
World Liberty Financial USD,USD1,$1,-0.01,0.01,0.05,$2171799134.65,$528350970.6
Algorand,ALGO,$0.24,0.59,5.45,-6.89,$2121849237.74,$70839398.27
GateToken,GT,$16.48,0,0.94,-5.65,$2024981766.55,$5954299.07
VeChain,VET,$0.02,0.49,3.57,-5.93,$2008099737.48,$38920286.61
Arbitrum,ARB,$0.39,0.44,3.8,-8.18,$2003316460.64,$200961537.75
Cosmos,ATOM,$4.32,0.63,4.31,-3.16,$1991445549.29,$108082009.14
Bonk,BONK,$0,1.19,3.78,-14.49,$1965712328.29,$287642215.56
Render,RENDER,$3.59,0.46,4.13,-9.44,$1858052409.51,$45908474.34
Worldcoin,WLD,$0.97,0.55,4.57,-10.49,$1782819622.05,$140450003.89
OFFICIAL TRUMP,TRUMP,$8.84,0.35,2.64,-5.9,$1768012300.84,$146529613.98
Story,IP,$5.97,1.32,-0.9,-2.78,$1763965539.95,$41996684.72
Sky,SKY,$0.08,0.3,7.83,-6.93,$1699441233.08,$1843530.5
Sei,SEI,$0.29,0.56,3.91,-8.34,$1681665998.13,$136003638.64
Flare,FLR,$0.02,0.2,1.78,-6.72,$1638737652.12,$11002036.79
Filecoin,FIL,$2.39,0.47,4.36,-5.58,$1630957889.89,$114397684.21
SPX6900,SPX,$1.68,0.53,7.82,-14.15,$1564686983.24,$64655018.16
Artificial Superintelligence Alliance,FET,$0.65,0.73,3.38,-6.51,$1551097859.34,$69666258.11
XDC Network,XDC,$0.09,0.06,-0.18,-5.95,$1503159591.92,$29069471.3
Four,FORM,$3.81,0.15,0.65,0.01,$1456754922.72,$9018908.03
First Digital USD,FDUSD,$1,0,0.03,0.02,$1449812269.69,$5517114058.43
Jupiter,JUP,$0.47,0.74,4.75,-10.53,$1447512697.76,$35363581.82
KuCoin Token,KCS,$10.44,0.12,-0.53,-8.48,$1329873981.95,$5227601.8
Quant,QNT,$108.44,0.32,1.87,-11,$1309216437.15,$15322875.32
Injective,INJ,$13.02,0.96,3.95,-8.05,$1301487003.09,$102360402.05
Curve DAO Token,CRV,$0.93,0.16,4.42,-10.38,$1269208646.87,$197484955.89
Stacks,STX,$0.69,0.55,3.18,-9.59,$1235158868.52,$25537033.35
Celestia,TIA,$1.65,0.67,4.5,-8.7,$1219188708.47,$91523379.24
Optimism,OP,$0.67,1,4.51,-6.16,$1178304957.99,$147709172.06
Pump.fun,PUMP,$0,-1.8,-0.15,4,$1171326570.22,$365217259.04
Conflux,CFX,$0.22,2.35,8.25,-2.85,$1108485502.36,$208973297.54
FLOKI,FLOKI,$0,0.56,5.09,-6.66,$1020619198.57,$77677393.56
Immutable,IMX,$0.51,0.81,5.08,-8.69,$971027312.56,$34239048.27
PayPal USD,PYUSD,$1,0,0,-0.01,$969246191.88,$17224655
The Graph,GRT,$0.09,0.35,5.42,-9,$960474424.8,$37515493.99
Ethereum Name Service,ENS,$26.21,0.76,3.42,-8.58,$959149380.65,$64089818.5
PAX Gold,PAXG,$3379.24,0.02,0.04,2.24,$958971956.48,$60405928.03
PancakeSwap,CAKE,$2.71,0.33,6.84,-4.47,$932815810.64,$114026332.55
Fartcoin,FARTCOIN,$0.93,0.7,1.55,-12.3,$929543681.57,$181321343.7
dogwifhat,WIF,$0.9,1.04,6.34,-8.38,$903606460.82,$174373552.79
Kaia,KAIA,$0.14,0.54,4.12,-9.57,$876340575.36,$26969158.39
Lido DAO,LDO,$0.94,0.76,5.63,-9.52,$841300270.11,$61727619.34
Nexo,NEXO,$1.3,0.16,-0.23,-2.07,$841296231.77,$12822164.8
Tether Gold,XAUt,$3374.84,0,0.09,2.2,$831977978.29,$34298063.94
Tezos,XTZ,$0.79,0.15,4.51,-5.55,$828786112.35,$24670771.74
MemeCore,M,$0.52,-1.75,-1.4,57.37,$827365785.39,$20826721.42
Vaulta,A,$0.51,0.47,3.01,-5.77,$805443588.75,$32375536.21
Sonic,S,$0.28,1.09,2.79,-15.04,$805433476.71,$101767490.1
Virtuals Protocol,VIRTUAL,$1.22,0.24,5.75,-11.13,$799422529.33,$103200183.51
Theta Network,THETA,$0.77,0.78,4.49,-9.77,$771062810.35,$29673517.98
IOTA,IOTA,$0.19,0.6,5.18,-7.46,$744255757.55,$16829089.02
JasmyCoin,JASMY,$0.01,0.44,3.41,-8.32,$725779016.35,$25485169.71
Raydium,RAY,$2.66,0.58,5.09,-10.68,$713573466.23,$49772070.99
Gala,GALA,$0.02,0.68,4.22,-6.51,$705528103.55,$60179116.02
DeXe,DEXE,$8.29,0.18,9.3,10.06,$694313526.93,$13455975.15
The Sandbox,SAND,$0.27,0.27,4.45,-8.23,$694042417.45,$38959783.53
Pendle,PENDLE,$4.02,0.62,6,-8.46,$667369819.9,$66429671.94
Aerodrome Finance,AERO,$0.76,0.56,3.5,-8.97,$665692462.22,$24074415.43
