name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h
Bitcoin,BTC,$117017.07,-0.09,0.13,3.16,$2329106611772.58,$58380315525.74
Ethereum,ETH,$4170.04,-0.68,4.31,18.87,$503361643575.01,$50372602716.2
XRP,XRP,$3.29,-1.03,-1.78,11.92,$194900001102.08,$7278137308.75
Tether USDt,USDT,$1,-0.01,-0.05,0.04,$164494641356.74,$117215537323.31
BNB,BNB,$808.41,-0.73,2.06,7.09,$112602228590.38,$2353832469.29
Solana,SOL,$180.34,-0.69,1.58,9.73,$97250389946.52,$5950532208.85
USDC,USDC,$1,0.01,0.01,0.03,$65321405998.7,$13804364923.53
Dogecoin,DOGE,$0.24,-2.1,5.73,19.56,$35865703733.4,$2991276889.75
TRON,TRX,$0.34,-0.13,-0.64,2.73,$31851209333.94,$661630787.13
Cardano,ADA,$0.81,-1.46,1.26,12.75,$28550144050.94,$1018233781.82
Hyperliquid,HYPE,$43.67,-0.44,4.72,14.94,$14582024226.95,$290557788.88
Chainlink,LINK,$21.06,-0.13,6.66,31.25,$14280840636.49,$1421595363.63
Stellar,XLM,$0.45,-0.94,-2.29,18.9,$14113863392.41,$540331973.13
Sui,SUI,$3.93,-0.59,2.38,14.42,$13793883009.49,$1307368074.24
Bitcoin Cash,BCH,$575.28,-2.15,-1,6.86,$11453208974.66,$373397193.23
Hedera,HBAR,$0.26,-1.41,0.34,11.86,$11220856078.08,$390873049.9
Avalanche,AVAX,$24.34,-1.69,3.08,12.8,$10278650902.95,$621907549.31
Ethena USDe,USDe,$1,0,0,0.03,$10015211259.35,$248377718.76
Litecoin,LTC,$122.71,-2.23,-0.1,12.76,$9346758756.04,$872990649.71
Toncoin,TON,$3.38,-1.01,0.66,-5.95,$8684555023.16,$265959685.17
UNUS SED LEO,LEO,$8.98,-0.12,0,0.22,$8288363860.21,$2233525.72
Shiba Inu,SHIB,$0,-1.77,5.54,13.46,$8097980203.78,$252139592.98
Uniswap,UNI,$10.82,-3.29,1.13,19.32,$6804499532.55,$616446565.03
Polkadot,DOT,$4.1,-0.91,4.27,14.98,$6574416088.97,$315446448.6
Dai,DAI,$1,0,-0.01,0.01,$5366152599.66,$22430441332.8
Pepe,PEPE,$0,-1.36,9.76,19,$5206551729.38,$1141772707.83
Cronos,CRO,$0.16,-0.62,3.27,20.28,$5144596228.89,$58337010.58
Bitget Token,BGB,$4.49,-1.03,-0.01,4.38,$5117224463.43,$114444935.6
Monero,XMR,$271.54,-1.68,0.71,-7.46,$5009079677.98,$121254869.65
Ethena,ENA,$0.73,-3.43,15.69,33.59,$4831643447.21,$1490733883.13
Aave,AAVE,$299.68,-1.16,4.82,17.26,$4558378577.97,$504920719.34
Bittensor,TAO,$384.39,-1.32,2.41,13.27,$3689152756.54,$137897581.05
Mantle,MNT,$1.06,-0.96,-0.99,53.08,$3563160360.72,$370982988.02
Ethereum Classic,ETC,$23.15,-1.69,5.39,16.89,$3542929102.11,$374080072.81
NEAR Protocol,NEAR,$2.79,-1.23,4,16.15,$3465127908.9,$210292263.72
Ondo,ONDO,$1.04,-1.14,1.84,17.51,$3292005440.42,$173793738.65
Aptos,APT,$4.8,-0.94,3.3,14.54,$3224810885.85,$226516989.44
Pi,PI,$0.41,-1.54,12.09,13.76,$3191401012.81,$175946750.37
Internet Computer,ICP,$5.63,-1.26,3.83,11.99,$3019048793.8,$93810736.81
OKB,OKB,$47.05,-0.04,2.53,1.11,$2823261451.72,$9073973.1
POL (prev. MATIC),POL,$0.25,-1.17,2.27,24.67,$2584435001.27,$209833123.95
Kaspa,KAS,$0.1,-1.09,4.32,14.3,$2543908017.53,$69151875.3
Algorand,ALGO,$0.27,-0.95,2.73,17.28,$2379233170.64,$132052706.8
Pudgy Penguins,PENGU,$0.04,-1.96,1.35,10.32,$2377974983.51,$645884582.98
Arbitrum,ARB,$0.46,-1.25,7.99,21.55,$2365297050.78,$367047967.23
Bonk,BONK,$0,-0.55,3.36,6.25,$2196490819.59,$569379846.5
Cosmos,ATOM,$4.73,-1,2.66,14.82,$2181148784.08,$143803593.49
World Liberty Financial USD,USD1,$1,0,-0.03,0.11,$2178710328.09,$564798683.59
VeChain,VET,$0.03,-1.18,2.31,11.1,$2155844249.28,$52721234.51
