name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h
GateToken,GT,$17.05,-0.47,0.43,2.1,$2095771377,$15280499.97
Render,RENDER,$3.97,-1.36,1.88,13.08,$2055961526,$68466990.56
Worldcoin,WLD,$1.08,-1.49,4.56,12.45,$1995178096.81,$203997664.77
Story,IP,$6.49,-0.38,-1.86,12.28,$1918993909.36,$90031363.45
Sei,SEI,$0.33,-1.63,6.01,18.44,$1914788576.21,$199492544.56
OFFICIAL TRUMP,TRUMP,$9.57,-0.84,2.75,9.72,$1913235858.13,$356599653.65
Sky,SKY,$0.09,-1.18,2.94,9.71,$1834059928.52,$2040947.58
Filecoin,FIL,$2.62,-0.89,4.26,13.05,$1788659265.73,$203642935.49
SPX6900,SPX,$1.89,-2.1,4.21,23.78,$1756849230.9,$79009581.17
Artificial Superintelligence Alliance,FET,$0.71,-1.07,1.86,13.25,$1689934410.2,$90372237.81
Flare,FLR,$0.02,-1.46,-1.64,4.75,$1652880038.79,$13737169.04
Jupiter,JUP,$0.52,-1.4,4.29,16.63,$1604083375.58,$65597221.7
Four,FORM,$3.98,-0.08,0.66,5.45,$1520377799.76,$9883839.47
XDC Network,XDC,$0.09,-1.55,-1.78,-1.82,$1497282763.07,$41558252.9
KuCoin Token,KCS,$11.4,0.59,9.75,7.86,$1452018301.75,$9871745.32
Injective,INJ,$14.52,-1.56,2.08,16.67,$1451303701.72,$126158309.91
First Digital USD,FDUSD,$1,-0.01,0.02,0.07,$1449890857.34,$6734834425.37
Quant,QNT,$115.69,-0.65,0.24,7.58,$1396666695.42,$17938171.05
Optimism,OP,$0.79,-0.96,6.02,23.52,$1381868555.46,$320918255.29
Curve DAO Token,CRV,$0.99,-0.84,5.66,11.21,$1357294287.99,$343385970.14
Celestia,TIA,$1.82,-1.47,3.84,13.01,$1346296878.24,$116673804.66
Stacks,STX,$0.75,-0.96,1.49,11.04,$1345969490.05,$42773261.03
Pump.fun,PUMP,$0,-2.03,-2.7,20.3,$1161134892.9,$222176228.39
FLOKI,FLOKI,$0,-1.86,2.83,15.58,$1149699014.61,$134069078.77
Immutable,IMX,$0.58,-1.59,6.13,17.98,$1102589477.73,$40131915.69
Fartcoin,FARTCOIN,$1.1,-1.88,7.5,17.09,$1099841703.6,$224225533.38
Conflux,CFX,$0.21,-2.21,-0.45,11.85,$1095547677.14,$187783738.44
Ethereum Name Service,ENS,$29.23,-1.54,4.35,15.24,$1069421669.93,$183792721.24
Lido DAO,LDO,$1.17,-0.77,4.32,30.84,$1049322325.19,$182111642.84
The Graph,GRT,$0.1,-1.05,4.88,10.66,$1038838090.15,$60815174.6
PayPal USD,PYUSD,$1,0,-0.01,0,$1034231484.78,$28285156.74
dogwifhat,WIF,$1.01,-1.3,3.88,16.07,$1004738646.86,$289271480.71
PancakeSwap,CAKE,$2.87,-1.41,2.74,11.21,$988244002.28,$92757302.81
Tezos,XTZ,$0.93,-1.75,13.28,25.65,$985338130.55,$156368149.75
Aerodrome Finance,AERO,$1.1,-2.13,19.41,44.1,$968383764.15,$287687136.06
PAX Gold,PAXG,$3388.37,-0.02,0,0.8,$962916442.37,$76881913.56
Kaia,KAIA,$0.15,-0.55,1.34,7.51,$931351286.6,$23281693.02
Pendle,PENDLE,$5.55,0.35,3.27,40.57,$929714562.5,$282055340.35
Virtuals Protocol,VIRTUAL,$1.4,-1.23,3.76,17.52,$915876795.34,$151157689.4
Sonic,S,$0.31,-1.42,3.43,4.46,$903570882.44,$154112552.36
Nexo,NEXO,$1.35,-0.37,2.15,4.91,$873181069.85,$11794683.64
Theta Network,THETA,$0.86,-1.04,5.38,16.72,$863521906.21,$42093874.26
Vaulta,A,$0.54,-0.55,2.24,9.48,$858416876.17,$41759912.67
Tether Gold,XAUt,$3385.63,-0.06,-0.17,0.8,$834639063.27,$33778857.86
IOTA,IOTA,$0.21,-1.11,2.61,15.23,$818952047.47,$21487534.48
JasmyCoin,JASMY,$0.02,-0.56,3.17,12.58,$813902442.48,$57322964.55
Gala,GALA,$0.02,-1.12,6.11,19.22,$809172037.23,$126955394.52
Raydium,RAY,$3,-1.81,3.26,16.31,$804954321.34,$68106134.83
The Sandbox,SAND,$0.3,-1.07,4.04,14.28,$773495662.24,$54720274.34
Pyth Network,PYTH,$0.13,-1.45,4.07,16.2,$737981149.17,$26858721.4
MemeCore,M,$0.45,-1.9,-0.57,28.19,$712034491.82,$14096722.76
