name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h
Dai,DAI,$1,0,0,0,$5366000770.14,$19793183274.05
Bitget Token,BGB,$4.34,0.31,0.08,-5.19,$4953179460.69,$54661111.54
Cronos,CRO,$0.14,0.6,0.97,-5.49,$4465671184.87,$29844980.53
Pepe,PEPE,$0,-0.2,-1.18,-11.75,$4401411811.28,$622600447.37
Ethena,ENA,$0.6,0.54,-5.14,-0.28,$3964828595.52,$884068133.74
Aave,AAVE,$260.31,0.08,-1.9,-9.96,$3959071964.93,$383029975.36
Bittensor,TAO,$347.74,0.37,-3.13,-12.56,$3337444296.94,$115786245.45
NEAR Protocol,NEAR,$2.54,1.22,0.83,-8.54,$3150753276.55,$161332690.27
Ethereum Classic,ETC,$20.52,0.29,0.46,-8,$3140131202.84,$158293971.28
Mantle,MNT,$0.91,4.05,18.23,18.37,$3072662412.2,$640798561.76
Ondo,ONDO,$0.93,0.28,-0.6,-5.25,$2951269036.86,$150945955.28
Aptos,APT,$4.31,0.52,0.21,-8.55,$2893756071.47,$153255856.36
Internet Computer,ICP,$5.22,0.16,0.33,-6.81,$2797910475.39,$61689835.58
Pi,PI,$0.35,0.19,-0.6,-19.16,$2747782990.17,$44594292.56
OKB,OKB,$45.37,-0.83,-2.44,-6.57,$2722347592.01,$9633759.05
Kaspa,KAS,$0.09,-0.02,0.08,-9.18,$2355529033.8,$72632817.25
POL (prev. MATIC),POL,$0.22,0.89,8.16,-3.84,$2319656010.44,$203993851.38
Pudgy Penguins,PENGU,$0.03,0.2,-5.32,-11.18,$2173320450.24,$668905236.69
World Liberty Financial USD,USD1,$1,0,0,0.1,$2167173945.09,$538492746.69
Algorand,ALGO,$0.24,-0.08,-1.32,-8.67,$2116047342.26,$86292021.31
GateToken,GT,$16.75,0.36,-1.14,-6.56,$2058626391.39,$6319869.98
Bonk,BONK,$0,-0.71,-7,-20.52,$2029261615.68,$421011653.99
Arbitrum,ARB,$0.39,0.34,-0.78,-9.9,$2025828190.81,$256104858.86
VeChain,VET,$0.02,0.54,-0.27,-7.97,$2006087306.77,$45208186.34
Cosmos,ATOM,$4.29,1.18,0.19,-8.71,$1975893891.56,$133928286.29
Render,RENDER,$3.62,0.82,-0.14,-10.76,$1873833721.21,$64325958.25
Story,IP,$6.06,-0.36,1.15,7.66,$1789230362.37,$45803315.76
Worldcoin,WLD,$0.96,0.63,-3.05,-13.53,$1777108229.14,$210145096.97
OFFICIAL TRUMP,TRUMP,$8.83,-0.26,-1.21,-8.31,$1765185301.94,$259343636.62
Sei,SEI,$0.3,-0.35,2.29,-9.61,$1719062342.55,$246938200.27
Sky,SKY,$0.08,2.1,0.35,-8.39,$1697610645.56,$1616129.52
Flare,FLR,$0.02,-0.36,-2.34,-6.79,$1669737095.63,$17703755.07
Filecoin,FIL,$2.39,0.63,0.23,-9.35,$1633759473.95,$133186177.23
Artificial Superintelligence Alliance,FET,$0.66,0.46,1.3,-8.2,$1572737473.55,$77370134.78
SPX6900,SPX,$1.66,-0.27,-1.42,-23.09,$1549533075.05,$81445503.92
XDC Network,XDC,$0.09,0,-0.95,-0.56,$1523692380.11,$35051510.83
Jupiter,JUP,$0.48,0.32,1.85,-13.62,$1464234467.58,$51832570.78
First Digital USD,FDUSD,$1,-0.01,-0.03,-0.02,$1449563082.62,$6629876763.23
Four,FORM,$3.78,0.27,-0.95,14.32,$1443295872.29,$10014319.28
Injective,INJ,$13.56,-0.02,1.23,-7.96,$1355652725.78,$142355465.79
KuCoin Token,KCS,$10.59,0.05,0.48,-8.12,$1349449240.91,$5679927.58
Quant,QNT,$109.95,0.38,-0.74,-11.47,$1327429617.78,$18736425.93
Stacks,STX,$0.7,-0.08,-0.04,-12.29,$1250085976.57,$36298104.32
Curve DAO Token,CRV,$0.91,0.31,-1.56,-9.37,$1248230201.71,$396637420.18
Celestia,TIA,$1.69,0.08,1.31,-16.06,$1244477664.78,$99463335.89
Optimism,OP,$0.68,0.42,1.13,-10.27,$1198138135.28,$212093267.29
Pump.fun,PUMP,$0,-1.51,2.5,20.07,$1104849024.03,$592780705.4
Conflux,CFX,$0.21,0.41,0.86,-22,$1091042368.44,$241551180.52
FLOKI,FLOKI,$0,0.2,-3.81,-11.86,$1020085542.59,$98878408.76
Fartcoin,FARTCOIN,$1.01,0.08,2.78,-10.83,$1011336834.01,$229161020.37
Immutable,IMX,$0.52,-0.06,1.97,-10.82,$982051255.69,$33282662.8
Ethereum Name Service,ENS,$26.52,0.71,0.12,-8.5,$970348292.12,$114292156.99
PayPal USD,PYUSD,$1,0.02,0.01,0,$957588427.58,$33343987.44
PAX Gold,PAXG,$3377.55,0.34,-0.08,1.6,$957131276.15,$71744593.45
The Graph,GRT,$0.09,0.05,-2.14,-12.84,$950470121.47,$45825075.46
PancakeSwap,CAKE,$2.61,0.21,-0.15,-12.23,$899127127.27,$79571284.31
dogwifhat,WIF,$0.9,0.06,-3.04,-13.03,$897296980.92,$243832092.79
Kaia,KAIA,$0.14,-0.18,-0.1,-10.3,$878867406.72,$41799637.49
Sonic,S,$0.3,0.37,-2.02,-6.36,$849852863.81,$105447106.05
Tezos,XTZ,$0.81,-0.8,4.74,-7.92,$849561115.32,$58046773.21
Nexo,NEXO,$1.31,0.74,-0.66,0.86,$849111709.6,$10741950.65
Tether Gold,XAUt,$3372.63,0.34,-0.14,1.6,$831433013.33,$29212471.66
Lido DAO,LDO,$0.92,0.31,-1.85,-14.83,$827831060.34,$72240945.27
Vaulta,A,$0.52,0.18,2.38,-6.02,$816002584.24,$40363207.64
MemeCore,M,$0.52,-0.29,-7.11,55,$814979296.35,$30973004.11
Virtuals Protocol,VIRTUAL,$1.23,0.15,-0.55,-16.05,$802922368.3,$122368041.78
Theta Network,THETA,$0.77,0.46,0.99,-11.41,$773688461.9,$38029574.81
JasmyCoin,JASMY,$0.01,0.38,-2.54,-11.52,$738412240.97,$36809307.56
IOTA,IOTA,$0.19,0.27,-1.5,-9.22,$732331891.73,$21940721.08
Raydium,RAY,$2.7,0.49,1.92,-13.84,$722711990.9,$63614256.34
Gala,GALA,$0.02,0.38,-0.63,-10.43,$703613686.11,$81563110.27
The Sandbox,SAND,$0.27,0.11,0.28,-10.61,$695824287.8,$45460901.6
Pyth Network,PYTH,$0.12,0.29,-0.98,-11.5,$662961188.49,$27168331.48
Pendle,PENDLE,$3.95,1.78,-3.27,-10.8,$654094020.06,$62981955.54
Aerodrome Finance,AERO,$0.75,0.34,-5.04,-10.63,$653106570.47,$45806296.18
