name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h
Bitcoin,BTC,$114497.44,0.47,-0.2,-3.5,$2278754519492.09,$58025240105.94
Ethereum,ETH,$3656.92,0.82,1.24,-4.96,$441425684254.97,$33499165150.19
XRP,XRP,$3.04,0.3,-0.44,-3.8,$180187684301.97,$5758194084.53
Tether USDt,USDT,$1,0,0,-0.02,$163915651371.91,$102386356627.66
BNB,BNB,$759,-0.01,-0.44,-7.12,$105719526507.19,$1934329894.44
Solana,SOL,$167.87,0.24,1.42,-8.64,$90383307165.51,$5340730878.8
USDC,USDC,$1,0,0.01,-0.01,$64348776715.06,$12690081075.72
TRON,TRX,$0.33,0.07,0.67,-1.88,$31553043286.92,$815344701.74
Dogecoin,DOGE,$0.2,0.37,0.3,-10.57,$30750601479.8,$1775200318.87
Cardano,ADA,$0.74,0.35,-0.61,-6.89,$26320964428.79,$968006899.98
Hyperliquid,HYPE,$39.29,0.54,2.43,-12.54,$13119200298.1,$293888862.19
Stellar,XLM,$0.41,0.05,-2.66,-4.89,$12670238429.87,$457112234.71
Sui,SUI,$3.49,-0.2,-0.97,-10.52,$12241757102.23,$1276530850.81
Bitcoin Cash,BCH,$570.99,-0.15,2.7,-0.04,$11366848810.38,$712470389.55
Chainlink,LINK,$16.7,0.27,-0.69,-8.16,$11324953754.38,$618344016.33
Hedera,HBAR,$0.25,0.18,-1.63,-8.7,$10495388925.08,$435426920.6
Ethena USDe,USDe,$1,0.01,0,0.01,$9568583338.95,$313139704.74
Avalanche,AVAX,$22.4,0.16,1.41,-10.56,$9459379119.91,$591487445.63
Litecoin,LTC,$123.55,-0.27,4.3,12.48,$9408767643.98,$1943695018.06
UNUS SED LEO,LEO,$8.99,0.03,0.05,0.22,$8298442778.44,$2002387.91
Toncoin,TON,$3.33,0.25,-2.12,1.79,$8037350299.83,$388692983.73
Shiba Inu,SHIB,$0,0.17,-1.41,-8.7,$7193413276.66,$204292563.75
Uniswap,UNI,$9.83,0.47,2.64,-5.5,$6179553959.07,$559458607.55
Polkadot,DOT,$3.67,0.44,-0.19,-8.63,$5885475847.99,$238687369.31
Monero,XMR,$295.72,-0.26,-3.85,-7.38,$5455055261.69,$129379657.49
