name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h
Bitcoin,BTC,$113937,0.04,0.54,-3.28,$2267654643300.93,$55850212363.98
Ethereum,ETH,$3591.71,0.07,0.31,-4.92,$433552887780.72,$27810650308.19
XRP,XRP,$2.95,-0.03,-1.12,-4.55,$174971424499.93,$5163160652.95
Tether USDt,USDT,$1,0.02,0.01,0,$163826174094.43,$89924359844.01
BNB,BNB,$763.4,0.53,2.05,-3.08,$106331892123.13,$2006854926.93
Solana,SOL,$164.66,0.18,0.27,-7.95,$88677518956.02,$4088935613.8
USDC,USDC,$1,0.01,0,0,$64589268531.93,$11470418412.68
TRON,TRX,$0.33,-0.02,0.79,2.57,$31641565614.1,$976213808.53
Dogecoin,DOGE,$0.2,0,0.45,-8.27,$30158327246.98,$1391873288.87
Cardano,ADA,$0.73,-0.04,-0.32,-5.08,$25722788117.92,$812451675.19
Hyperliquid,HYPE,$38.19,0.91,-1.15,-10.82,$12754102205.68,$236893872.54
Stellar,XLM,$0.39,-0.4,-2.11,-5.21,$12190270105.19,$323821980.9
Sui,SUI,$3.42,0.03,0.57,-8.96,$11994886552.68,$928423236.58
Bitcoin Cash,BCH,$559.57,0.03,-1.3,-1.74,$11139649506.73,$463738127.41
Chainlink,LINK,$16.42,0.33,0.28,-5.96,$11134689262.19,$389212175.16
Hedera,HBAR,$0.24,-0.34,-1.32,-6.81,$10107734258.59,$366905490.86
Ethena USDe,USDe,$1,0.01,-0.01,-0.01,$9515574963.03,$243024523.53
Avalanche,AVAX,$21.9,-0.04,-0.35,-6.1,$9246206106.13,$368856746.23
Litecoin,LTC,$115.93,0.2,-4.79,6.93,$8828941813.84,$990309178.12
UNUS SED LEO,LEO,$8.99,0.01,-0.01,0.33,$8294615247.54,$1532682.2
Toncoin,TON,$3.18,0.12,-3.67,-5,$7677945929.06,$264411508.72
Shiba Inu,SHIB,$0,0.19,1.33,-5.34,$7165962541.84,$170133701.53
Uniswap,UNI,$9.48,0.11,-1.27,-4.73,$5958786494.36,$322990046.83
Polkadot,DOT,$3.6,0.25,0.03,-5.05,$5783686372.45,$195465024.18
Dai,DAI,$1,0.02,0.03,0.01,$5366582853.76,$20421325077.94
Monero,XMR,$286.59,-0.84,-1.51,-6.95,$5286564013.99,$106449803.71
Bitget Token,BGB,$4.32,-0.09,0.35,-4.03,$4928958725.31,$94008867.42
Cronos,CRO,$0.14,-0.27,2.25,-1.25,$4509699472.17,$33380721.71
Pepe,PEPE,$0,0.03,1.73,-8.71,$4338684009.4,$523580984.91
Aave,AAVE,$256.28,0.19,0.39,-7.07,$3898059354.13,$320944296.29
Ethena,ENA,$0.57,1.61,-1.88,1.21,$3785694717.49,$650963833.59
Bittensor,TAO,$339.24,-0.15,-0.16,-7.81,$3255890504.17,$94729335.56
NEAR Protocol,NEAR,$2.45,0.07,-1.27,-6.71,$3044985180.35,$177284035.82
Ethereum Classic,ETC,$19.86,-0.04,-1.59,-6.53,$3039298174.54,$126298460.43
Mantle,MNT,$0.88,0.25,-0.48,16.49,$2954578086.66,$546154015.85
Ondo,ONDO,$0.92,0.06,0.2,-2.51,$2897227216.98,$154176273.9
Aptos,APT,$4.19,-0.02,-1.78,-5.74,$2817640906.59,$170283134.95
Internet Computer,ICP,$5.04,0.09,-1.49,-5.43,$2702575043.95,$71138962.76
OKB,OKB,$44.97,0,0.27,-6.16,$2698054253.44,$6596919.8
Pi,PI,$0.34,0.2,-2.33,-18.23,$2648219295.79,$49735718.06
POL (prev. MATIC),POL,$0.22,0.86,3.1,3.01,$2327782896.33,$194756817.3
Kaspa,KAS,$0.09,0.51,-0.37,-6.56,$2291249190.61,$56677777.56
World Liberty Financial USD,USD1,$1,0.02,0,0.06,$2167096887.86,$435868246.12
Pudgy Penguins,PENGU,$0.03,-0.14,-2.16,-9.48,$2067497201.99,$372767321.46
Algorand,ALGO,$0.24,0.1,-0.05,-6.16,$2062642611.91,$81557486.02
GateToken,GT,$16.36,-0.27,-1.64,-5.53,$2011120394.25,$6930725.46
VeChain,VET,$0.02,0.19,0.95,-5.01,$1985268681.6,$40075269.71
Arbitrum,ARB,$0.38,-0.45,-0.95,-7.19,$1956510909.83,$211981915.58
Cosmos,ATOM,$4.2,0.23,-0.49,-5.08,$1935154099.5,$111734628.3
Bonk,BONK,$0,-0.56,-3.97,-13.9,$1902802724.76,$326826881.66
Render,RENDER,$3.51,0.15,-0.38,-7.35,$1820966119.8,$49313925.49
OFFICIAL TRUMP,TRUMP,$8.73,0.27,0.64,-5.6,$1745332340.52,$233433132.27
Worldcoin,WLD,$0.94,0.15,-0.61,-10.31,$1727154383.17,$156990805.62
Story,IP,$5.7,-1.59,-5.22,-2,$1685110343.73,$30360558.7
Sky,SKY,$0.08,1.48,0.42,-7.33,$1667625108.8,$2194895.33
Sei,SEI,$0.29,0.27,-1.39,-6.03,$1647819217.06,$162905521.78
Flare,FLR,$0.02,0.3,-3.3,-7.53,$1604374763.38,$8414730.03
Filecoin,FIL,$2.33,0.02,-0.67,-6.4,$1592007899.26,$127654152.76
SPX6900,SPX,$1.64,0.13,3.05,-13.54,$1529153973.17,$59466629.69
XDC Network,XDC,$0.09,-0.02,0.02,-5.17,$1514248116.57,$33064481.42
Artificial Superintelligence Alliance,FET,$0.64,-0.05,-1.71,-6.24,$1512176540.08,$80426788.39
First Digital USD,FDUSD,$1,0.02,0.04,0.06,$1449914984.55,$6187702959.45
Four,FORM,$3.75,0.48,-0.45,-1.69,$1432366743.82,$9058611.72
Jupiter,JUP,$0.46,0.47,-0.67,-10.52,$1413316615.42,$41430181.14
KuCoin Token,KCS,$10.49,-0.19,-0.71,-7.52,$1336980776.51,$5270942.69
Quant,QNT,$107.46,0.29,-0.69,-8.64,$1297389659.86,$17946394.4
Injective,INJ,$12.83,0.09,-3.52,-6.32,$1282863158.09,$123252887.77
Curve DAO Token,CRV,$0.91,1.71,1.7,-9.82,$1243444950.48,$215476883.82
Stacks,STX,$0.68,0.3,-0.92,-9.39,$1213029545.74,$30052419.85
Celestia,TIA,$1.62,0.47,-1.26,-7.53,$1195664652.44,$96620127.62
Pump.fun,PUMP,$0,-1.27,9.13,33.63,$1187475468.64,$447115995.32
Optimism,OP,$0.66,-0.17,-1.55,-4.52,$1155222796.4,$192242885.5
Conflux,CFX,$0.2,-0.24,-1.81,4.03,$1030220212.3,$141168977.91
FLOKI,FLOKI,$0,0.24,-0.44,-5.45,$990625608.62,$111933848.06
PayPal USD,PYUSD,$1,0.02,0.01,0.01,$962241362.93,$34130324.74
PAX Gold,PAXG,$3376.51,0.16,-0.06,1.86,$958197033.23,$60994530.01
Fartcoin,FARTCOIN,$0.94,-1.12,-2.72,-10.96,$942030035.06,$241990562.49
Ethereum Name Service,ENS,$25.74,0.04,-0.69,-7.76,$941953751.23,$71730243.32
The Graph,GRT,$0.09,0.13,0.79,-9.1,$936922387.9,$44120430.98
Immutable,IMX,$0.49,-0.18,-2.37,-8.71,$935782403.51,$34738941.35
PancakeSwap,CAKE,$2.63,0.38,2.58,-5.28,$906486143.6,$97095402.92
dogwifhat,WIF,$0.87,-0.48,-0.12,-8.2,$867902925.21,$174186345.98
Kaia,KAIA,$0.14,0.7,-0.04,-9.56,$864379437.09,$28284339.86
