name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h
Nexo,NEXO,$1.29,0.44,-1.06,-2.08,$835124275.27,$11222704.13
Tether Gold,XAUt,$3369.8,0.14,-0.15,1.77,$830736084.24,$47269027.95
Lido DAO,LDO,$0.92,0.66,2.44,-8.8,$826732853.09,$90949143.96
MemeCore,M,$0.52,1.93,0.18,61.08,$822018617.91,$21339606.65
Tezos,XTZ,$0.76,0.22,-4.28,-7.73,$801748640.62,$32906840.31
Sonic,S,$0.28,-0.2,-2,-6.59,$796033342.53,$143977506.31
Vaulta,A,$0.5,0.24,-2.24,-6.29,$791584366.16,$49234809.49
Virtuals Protocol,VIRTUAL,$1.19,0.11,-0.57,-10.34,$780235377.23,$98358466.08
Theta Network,THETA,$0.76,0.37,-0.14,-8.45,$755741939.53,$34131179.67
IOTA,IOTA,$0.18,0.04,1.4,-6.76,$727201959.9,$19397569.32
JasmyCoin,JASMY,$0.01,0.1,-1.11,-6.88,$712780060.94,$30864831.14
Raydium,RAY,$2.59,0.07,-1.55,-11.14,$694090603.58,$51685815.35
Gala,GALA,$0.02,0.12,0.4,-6.23,$690902166.83,$81364160.61
The Sandbox,SAND,$0.26,0.05,-0.9,-8.06,$676518357.39,$40526976.67
DeXe,DEXE,$7.98,2.17,2.92,8.5,$667916036.85,$12297812.31
Pyth Network,PYTH,$0.11,0.33,0.41,-6.03,$648557036.12,$22890510.41
Aerodrome Finance,AERO,$0.74,0.65,1.12,-7.8,$648422715.01,$24574540.39
