name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h
Bitcoin,BTC,$114619.33,-0.1,1.08,-4.12,$2281099756383,$48062161943.61
Ethereum,ETH,$3547.82,-0.03,3.14,-8.92,$428256017891.33,$21486598461.27
XRP,XRP,$3,-0.32,6.54,-8.48,$177941358978.64,$5619355908.28
Tether USDt,USDT,$1,0.02,0.04,-0.02,$163925923557.11,$68941823402.38
BNB,BNB,$753.87,-0.27,1.41,-10.87,$105004936809.03,$1727482396.35
Solana,SOL,$163.39,-0.33,1.8,-14.76,$87970053031.67,$3733032638.94
USDC,USDC,$1,0.02,0.02,0,$64184733137.86,$8032893025.89
TRON,TRX,$0.33,0.09,1.37,2.3,$31028362605.02,$692403882.5
Dogecoin,DOGE,$0.2,-0.26,3.02,-17.54,$30283693419.04,$1274153420.07
Cardano,ADA,$0.74,0.06,3.39,-12.54,$26067381602.95,$734934711.7
Hyperliquid,HYPE,$38.66,-0.08,3.01,-12.72,$12908984750.54,$237959182.59
Stellar,XLM,$0.41,-0.21,10.45,-8.07,$12897894996.45,$479144217.4
Sui,SUI,$3.47,-0.42,2.24,-19.72,$12195258143.54,$977097997.63
Chainlink,LINK,$16.51,-0.07,4.08,-14.27,$11193836622.64,$313082466.77
Bitcoin Cash,BCH,$550.91,0.06,4.36,-6.66,$10966691335.8,$308622362.07
Hedera,HBAR,$0.25,-0.07,7,-13.28,$10585076119.82,$429938868.66
Ethena USDe,USDe,$1,0,0.04,-0.01,$9300696474.12,$551922280.5
Avalanche,AVAX,$21.84,0.29,3.31,-16.77,$9222994719.03,$298768793.68
Toncoin,TON,$3.56,-1.09,0.62,4.75,$8606022861.26,$307766141
Litecoin,LTC,$111.11,0.25,2.22,-3.98,$8460625534.19,$562629724.36
UNUS SED LEO,LEO,$8.98,0.05,0.17,0.18,$8289177251.62,$1214013.75
Shiba Inu,SHIB,$0,-0.18,2.75,-13.3,$7263834154.08,$117819218.61
Uniswap,UNI,$9.31,0.47,4.19,-15.72,$5854225595.66,$238424919.91
Polkadot,DOT,$3.63,0.02,2.39,-14.58,$5826493747.81,$184371772.8
Monero,XMR,$309.29,0.51,4.66,-4.84,$5705447929,$107170825.92
Dai,DAI,$1,0.01,0.01,0.01,$5365777319.71,$21095460682.35
Bitget Token,BGB,$4.35,-0.32,1.3,-8.07,$4959193157.88,$65175816.71
Pepe,PEPE,$0,-0.4,2.48,-18.37,$4434038269.07,$404979141.04
Cronos,CRO,$0.13,-0.24,3.52,-9.88,$4235370325.54,$25429025.75
Aave,AAVE,$263.11,0.01,3.86,-14,$4000117990.8,$254946042.86
Ethena,ENA,$0.61,-0.06,14.84,-7.57,$3881929100.3,$1061152381.13
Bittensor,TAO,$352.39,-0.34,4.27,-18.33,$3369467591.02,$121023832.38
NEAR Protocol,NEAR,$2.48,0.09,3.83,-16.57,$3072618169.1,$107946456.61
Ethereum Classic,ETC,$20.01,-0.3,2.89,-14.71,$3060699793.46,$316066835.92
Ondo,ONDO,$0.93,-0.27,4.67,-12.96,$2934983308.91,$110966099.86
Aptos,APT,$4.26,0.06,2.29,-13.46,$2863923167.44,$79952992.24
OKB,OKB,$46.6,-0.09,0.2,-6.06,$2796183584.74,$3903650.79
Pi,PI,$0.36,-0.61,0.94,-22.92,$2792707276.07,$81021178.37
Internet Computer,ICP,$5.16,0.07,3.33,-11.33,$2769139100.41,$46246671.58
Mantle,MNT,$0.71,-0.14,3.11,-14.47,$2394779948.86,$124446585.84
Kaspa,KAS,$0.09,-0.11,2.07,-18.65,$2277176721.48,$59462780.28
Pudgy Penguins,PENGU,$0.04,-1.46,8.23,-16.31,$2263557423.17,$653171688.94
Bonk,BONK,$0,0.94,7.65,-21,$2179232064.94,$318007577.62
World Liberty Financial USD,USD1,$1,0.03,0.04,-0.13,$2166978649.53,$417167101.1
Algorand,ALGO,$0.25,-0.52,7.05,-14.09,$2143984777.5,$85547325.03
POL (prev. MATIC),POL,$0.2,-0.41,2.82,-16.28,$2116910817.01,$110112396.98
GateToken,GT,$17.07,0.38,1.78,-6.56,$2098365176.71,$5160617.42
Arbitrum,ARB,$0.39,-0.02,3.65,-15.89,$2000995637.8,$159107039.97
VeChain,VET,$0.02,-0.32,3.23,-12.55,$1991941801.35,$35301973.87
Render,RENDER,$3.61,-0.24,3.8,-17.36,$1867883805.93,$50088070.96
