name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h
Worldcoin,WLD,$0.99,0,2.87,-19.07,$1806045173.81,$116365985.37
OFFICIAL TRUMP,TRUMP,$8.89,0.01,2,-14.55,$1777122527.95,$154933087.95
Story,IP,$6,-1.63,0.77,7.38,$1773567015.32,$44163729.04
Sky,SKY,$0.08,0.28,2.53,-19.29,$1692077610.05,$1652616.88
Cosmos,ATOM,$4.29,-0.25,3.57,-12.26,$1676308551.77,$85450079.14
Flare,FLR,$0.02,-0.17,4.92,-7.04,$1637028921.98,$12397838.16
Sei,SEI,$0.28,-0.46,3.85,-19.24,$1630643145.38,$100603957.75
Filecoin,FIL,$2.36,-0.04,2.56,-15.14,$1614687574.17,$95332595.89
Artificial Superintelligence Alliance,FET,$0.64,0.13,3.24,-16.15,$1530631497.84,$58117298.32
SPX6900,SPX,$1.64,0.69,6.8,-26.57,$1526150181.15,$75999782.67
XDC Network,XDC,$0.09,0.05,3.05,3.78,$1517906070.89,$33354085.5
Four,FORM,$3.86,1.2,1.88,11.54,$1474175761.15,$11637718.14
First Digital USD,FDUSD,$1,0,0.05,-0.05,$1449692241.28,$4517139923.07
Jupiter,JUP,$0.47,-0.16,6.32,-23.03,$1445042375.37,$44332336.11
KuCoin Token,KCS,$10.59,-0.11,0.49,-8.62,$1349277248.34,$4976481.17
Quant,QNT,$111.1,-0.56,3.24,-15.9,$1341309210.45,$16349106.77
Injective,INJ,$13.27,-0.53,7.24,-13.74,$1326589404.97,$113429090.1
Curve DAO Token,CRV,$0.92,0.31,4.13,-9.32,$1264079753.46,$157565242.66
Stacks,STX,$0.69,-0.2,2.49,-19.3,$1240966077.09,$21332207.38
Celestia,TIA,$1.65,-0.87,1.6,-20.56,$1207490033.61,$67280588.2
Optimism,OP,$0.67,0.36,3.75,-11.07,$1166708629.79,$114964371.34
Conflux,CFX,$0.21,-1.96,8.69,11.99,$1077430672.93,$469994005.9
Pump.fun,PUMP,$0,-2.32,7.85,9.62,$1048854949.6,$358117769.78
FLOKI,FLOKI,$0,-0.08,4.08,-17.9,$1034231646.72,$85184543.94
PayPal USD,PYUSD,$1,0.01,0.04,0.02,$1012291525.92,$10712773.2
Fartcoin,FARTCOIN,$0.96,0.02,5.89,-30.03,$963522272.94,$109975977.18
The Graph,GRT,$0.09,-0.09,3.09,-16.5,$961995476.54,$31047956.79
Immutable,IMX,$0.5,-0.55,3.31,-15.82,$954297144.23,$26555802.05
Ethereum Name Service,ENS,$26.06,0.43,5.07,-16.68,$953040678.23,$71868808.67
PAX Gold,PAXG,$3354.35,0.06,-0.24,0.25,$950555519.67,$44715732.01
dogwifhat,WIF,$0.92,-0.01,4.76,-19.38,$913946552.55,$144680277.72
PancakeSwap,CAKE,$2.59,-0.01,1.94,-20.72,$894846525.99,$59579654.12
Sonic,S,$0.3,-0.44,2.63,-10.64,$873882379.29,$62818618.98
Kaia,KAIA,$0.14,-0.43,3.1,-17.4,$856225200.05,$33806368.78
Nexo,NEXO,$1.32,-0.51,3.48,-0.76,$852660702.46,$9022137.73
Lido DAO,LDO,$0.93,0.1,4.7,-19.22,$836574848.32,$57171653.49
Tether Gold,XAUt,$3352.02,0.14,-0.17,0.38,$826353866.97,$24788344.38
Tezos,XTZ,$0.77,-0.01,2.78,-15.55,$806258877.67,$23406514.14
Virtuals Protocol,VIRTUAL,$1.23,-0.2,2.71,-23.03,$804431611.21,$126481551.01
Vaulta,A,$0.5,0.02,1.84,-14.32,$791622574.4,$26643397.45
Theta Network,THETA,$0.75,-0.14,1.62,-19.92,$754444454.37,$21962341.56
JasmyCoin,JASMY,$0.02,-0.28,4.72,-13.6,$752062015.98,$26256488.47
IOTA,IOTA,$0.19,-0.78,3.87,-16.1,$729803021.1,$16202497.87
MemeCore,M,$0.44,0.22,2,31.57,$699998479.87,$27972403.13
Raydium,RAY,$2.61,-0.27,3.1,-20.66,$698640198.42,$33758796.7
Gala,GALA,$0.02,0.06,3.02,-17.2,$696414868.16,$51263008.84
The Sandbox,SAND,$0.27,-0.44,2.18,-16.73,$686833654.51,$31291190.15
Aerodrome Finance,AERO,$0.79,-0.1,4.43,-12.56,$685381261.26,$24627678.9
Pendle,PENDLE,$4.01,-0.24,6.21,-9.48,$665496026.34,$58453949.43
Pyth Network,PYTH,$0.12,-0.06,5.24,-16.85,$664983179.24,$20571418.05
