name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h
Immutable,IMX,$0.58,0.1,-0.15,12.36,$1105683409.92,$49771609.01
Ethereum Name Service,ENS,$28.66,0.08,0.34,9.44,$1052701726.62,$210912727.9
FLOKI,FLOKI,$0,0.07,-2.38,4.68,$1051419562.47,$190299930.1
Aerodrome Finance,AERO,$1.16,-0.18,0.01,55.64,$1014906311.29,$111594713.3
Conflux,CFX,$0.2,-0.02,-1.05,-5.38,$1010081085.67,$113522230.15
PayPal USD,PYUSD,$1,0,0,0,$1005833478.34,$45473527.75
The Graph,GRT,$0.1,0.58,-0.12,6.37,$998968716.91,$54413552.91
PancakeSwap,CAKE,$2.76,0.3,0.01,7.03,$951797089.74,$80499723.3
PAX Gold,PAXG,$3340.28,-0.14,-0.36,-1.02,$949249383.3,$114259075.73
Tezos,XTZ,$0.89,-0.33,6.51,11.52,$942595138.16,$120301574.39
dogwifhat,WIF,$0.92,0.17,-2.85,4.24,$923064026.69,$297734482.75
Pendle,PENDLE,$5.5,0.61,-0.24,41.17,$920534710,$184598939.09
Kaia,KAIA,$0.15,-0.38,-0.6,2.51,$892817299.59,$25276724.4
Sonic,S,$0.3,0.3,-0.46,4.46,$878238032.67,$111117506.13
Nexo,NEXO,$1.34,-0.42,-2.03,2.53,$868424304.19,$11125970.3
Virtuals Protocol,VIRTUAL,$1.32,0.49,-4.36,9.39,$868190290.55,$154706561.37
Fartcoin,FARTCOIN,$0.87,-2.02,-12.69,-12.26,$865146633.21,$317705894.27
Vaulta,A,$0.54,0.99,2.72,5.33,$856320901.77,$90605505.75
Theta Network,THETA,$0.85,0.35,0.37,10.88,$847912244,$41241028.31
JasmyCoin,JASMY,$0.02,-0.22,1.26,16.07,$846410800.63,$62325369.58
Raydium,RAY,$3.14,0.52,-3,18.05,$841083914.98,$130532535.1
Tether Gold,XAUt,$3345.52,-0.11,-0.36,-0.81,$824750591.41,$35720067.4
IOTA,IOTA,$0.2,0.68,-0.32,10.82,$807454361.31,$23977915.69
Gala,GALA,$0.02,0.75,-0.32,12.14,$784036243.82,$127727428.19
The Sandbox,SAND,$0.29,0.11,-0.73,7.27,$739164015.1,$60402480.4
Pyth Network,PYTH,$0.12,0.53,-0.33,8.44,$709077285.05,$31682865.58
MemeCore,M,$0.44,-0.93,-3.94,-13.92,$702694720.87,$16619176.95
