name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h,Year,Quarter,Month,Day,DayName
VeChain,VET,$0.02,-15.00%,-28.00%,-1456.00%,$1928203671.02,$43326220.4,2025,Qtr 3,August,3,Sunday
Arbitrum,ARB,$0.37,4.00%,84.00%,-1759.00%,$1927225584.23,$249661845.66,2025,Qtr 3,August,3,Sunday
Story,IP,$6.11,-56.00%,745.00%,1133.00%,$1803250183.58,$55765955.49,2025,Qtr 3,August,3,Sunday
Render,RENDER,$3.46,-6.00%,-56.00%,-1926.00%,$1793532059.03,$58451444.21,2025,Qtr 3,August,3,Sunday
Worldcoin,WLD,$0.96,-31.00%,124.00%,-1828.00%,$1753569513.38,$148972474.8,2025,Qtr 3,August,3,Sunday
OFFICIAL TRUMP,TRUMP,$8.72,23.00%,77.00%,-1485.00%,$1744007315.21,$324236896,2025,Qtr 3,August,3,Sunday
Sky,SKY,$0.08,-6.00%,-140.00%,-1938.00%,$1633727190.13,$1559025.27,2025,Qtr 3,August,3,Sunday
Cosmos,ATOM,$4.16,8.00%,171.00%,-1332.00%,$1627754276.49,$116866780.6,2025,Qtr 3,August,3,Sunday
Filecoin,FIL,$2.31,18.00%,104.00%,-1449.00%,$1578693342.55,$159523065.45,2025,Qtr 3,August,3,Sunday
Sei,SEI,$0.27,-14.00%,-158.00%,-2056.00%,$1572673932.17,$156095212.46,2025,Qtr 3,August,3,Sunday
Flare,FLR,$0.02,17.00%,87.00%,-987.00%,$1563746831.59,$13404537.16,2025,Qtr 3,August,3,Sunday
Artificial Superintelligence Alliance,FET,$0.62,-24.00%,-36.00%,-1533.00%,$1481053584.34,$86189251.33,2025,Qtr 3,August,3,Sunday
XDC Network,XDC,$0.09,-7.00%,-284.00%,75.00%,$1474634165.61,$42136493.84,2025,Qtr 3,August,3,Sunday
First Digital USD,FDUSD,$1,2.00%,4.00%,-9.00%,$1449133356.21,$5753981809.85,2025,Qtr 3,August,3,Sunday
Four,FORM,$3.79,-36.00%,135.00%,1156.00%,$1447749829.58,$18074659.85,2025,Qtr 3,August,3,Sunday
SPX6900,SPX,$1.55,-40.00%,265.00%,-2164.00%,$1443462661.56,$70421213.46,2025,Qtr 3,August,3,Sunday
Jupiter,JUP,$0.45,-2.00%,52.00%,-2127.00%,$1370548659.99,$49867673.66,2025,Qtr 3,August,3,Sunday
KuCoin Token,KCS,$10.59,35.00%,-6.00%,-815.00%,$1348988091.35,$5566791.97,2025,Qtr 3,August,3,Sunday
Quant,QNT,$107.52,-13.00%,-149.00%,-1455.00%,$1298057326.94,$21573428.4,2025,Qtr 3,August,3,Sunday
Injective,INJ,$12.33,-13.00%,-32.00%,-1912.00%,$1232960661.98,$111014444.78,2025,Qtr 3,August,3,Sunday
