name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h
Bitcoin,BTC,$116155.76,-0.13,-0.36,0.5,$2311928963567.41,$63935295534.49
Ethereum,ETH,$3959.58,0.19,3.33,9.21,$477957815144.25,$43663397972.81
XRP,XRP,$3.23,0.06,5.68,6.22,$191856140278.26,$12858329536.37
Tether USDt,USDT,$1,-0.02,0.01,0.06,$164403674758.71,$125246973779.75
BNB,BNB,$785.37,-0.07,1.31,2.49,$109392347639.43,$2429275572.42
Solana,SOL,$175.69,0.14,3.09,3.8,$94740508962.45,$6560849938.69
USDC,USDC,$1,0,0,-0.01,$64847158622.89,$16116603831.02
Dogecoin,DOGE,$0.22,-0.13,3.4,4.84,$33317595569.21,$2657669867.95
TRON,TRX,$0.34,0.22,-0.23,3.72,$32164992921.15,$1215438363.3
Cardano,ADA,$0.78,-0.25,2.59,6.3,$27702672060.01,$1512854180.81
Stellar,XLM,$0.44,-0.39,7.65,11.8,$13873767412.92,$1173353546
Hyperliquid,HYPE,$40.75,-0.45,3.12,3.3,$13608773201.8,$274064226.62
Sui,SUI,$3.76,0.15,0.31,4.85,$13187578522.77,$1731952475.44
Chainlink,LINK,$19.19,-0.34,7.17,14.78,$13015675824.02,$1457013438.4
Bitcoin Cash,BCH,$579.94,0.38,0.55,4.41,$11545826168,$490706015.9
Hedera,HBAR,$0.26,-0.41,1.49,1.09,$10876792341.86,$537637394.51
Avalanche,AVAX,$23.21,0.05,2.48,4.66,$9802547491.41,$779925175.07
Ethena USDe,USDe,$1,-0.01,-0.03,0,$9798441025.09,$307818926.58
Litecoin,LTC,$121.55,0.08,0.31,13.93,$9257807095.05,$1160240689.2
Toncoin,TON,$3.35,0.18,0.44,-6.17,$8483962540.77,$398707040.18
UNUS SED LEO,LEO,$8.99,0.02,0.3,0.59,$8295610846.88,$2871094.48
Shiba Inu,SHIB,$0,0.26,2.19,4.04,$7597322877.59,$334321167.97
Uniswap,UNI,$10.65,0.59,5.13,16.6,$6694523698.27,$581822595.27
Polkadot,DOT,$3.89,0.14,3.34,6.37,$6244694316.7,$409370283.83
Dai,DAI,$1,-0.02,0,0.01,$5365579163.44,$21840645333.24
Bitget Token,BGB,$4.47,-0.44,0.75,3.16,$5094622002.04,$127322927.61
Monero,XMR,$273.14,2.17,2.65,-9.74,$5038487350.37,$195044728.7
Cronos,CRO,$0.15,0.92,2.81,12.04,$4956404791.56,$59449884.74
Pepe,PEPE,$0,0.51,3.75,5.1,$4739199257.21,$845881679.82
Aave,AAVE,$284.51,0.43,4.04,9.2,$4327570066.74,$581153685.6
Ethena,ENA,$0.62,-1.64,0.08,3.11,$4098531265.02,$770565397.29
Mantle,MNT,$1.07,0.32,3.64,50.38,$3607008118.42,$607355263.33
Bittensor,TAO,$365.29,-0.91,2.64,3.27,$3505879824.21,$160793417.18
Ethereum Classic,ETC,$21.84,-0.37,4.3,7.89,$3342597796.98,$342711622.93
NEAR Protocol,NEAR,$2.65,0.3,2.34,6.32,$3286062350.85,$282511656.91
Ondo,ONDO,$1.01,0.05,1.97,9.52,$3186050594.88,$197004812.13
Aptos,APT,$4.6,-0.21,5.83,6.6,$3091286117.66,$387900286.53
Internet Computer,ICP,$5.36,0.12,2.01,3.75,$2876081205.3,$164770165.06
Pi,PI,$0.37,0.62,3.05,-10.3,$2845953876.6,$68223770.02
