name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h
OKB,OKB,$45.82,-0.08,-0.1,-1.99,$2749424986.51,$6131304.74
POL (prev. MATIC),POL,$0.24,0.65,1.8,19.17,$2539173396.43,$297932296.75
Kaspa,KAS,$0.09,0.49,3.21,4.25,$2420885100.1,$82881418.3
Pudgy Penguins,PENGU,$0.04,0.1,0.92,6.62,$2299377323.79,$666921784.93
Algorand,ALGO,$0.26,-0.59,0.35,5.75,$2243103991.6,$229153113.93
World Liberty Financial USD,USD1,$1,-0.02,0.04,0.08,$2177741259.91,$434178153.78
Arbitrum,ARB,$0.42,0.17,3.11,7.79,$2166270596.64,$383980784.52
Bonk,BONK,$0,1.16,1.92,-3.44,$2100557806.38,$467120925.82
Cosmos,ATOM,$4.55,-0.38,3.55,7.37,$2095722057.69,$225400603.28
VeChain,VET,$0.02,-0.02,0.26,3.27,$2069729511.81,$56876106.7
GateToken,GT,$16.68,-0.86,-0.24,-1.69,$2050401707.48,$16206797.24
Render,RENDER,$3.81,-0.33,2.8,5.25,$1975355707.25,$83247870.32
Story,IP,$6.51,0.33,6.04,8.67,$1924990830.81,$365947187.11
Worldcoin,WLD,$1.01,0.29,0.32,1.36,$1870206101.48,$185662642.49
OFFICIAL TRUMP,TRUMP,$9.22,0.37,2.07,3.29,$1843516076.8,$407530164.94
Sky,SKY,$0.08,0.24,2.2,6.63,$1786247015.85,$1969129.56
Sei,SEI,$0.31,-0.26,0.83,3.39,$1763817182.33,$160099605.19
Filecoin,FIL,$2.49,0.24,2.21,5.48,$1702366341.19,$283740214.41
Flare,FLR,$0.02,-0.51,1.68,0.44,$1659792112.63,$15830755.15
Artificial Superintelligence Alliance,FET,$0.69,-0.24,0.57,4.08,$1632202181.37,$98491839.76
SPX6900,SPX,$1.75,-0.37,-0.92,6.81,$1630941352.84,$67429957.43
XDC Network,XDC,$0.09,-0.06,0.01,-5.15,$1511338473.45,$51869035.22
Jupiter,JUP,$0.49,-0.25,0.12,2.49,$1495270348.59,$52495312.37
Four,FORM,$3.91,-1.06,0.76,0.68,$1491192160.22,$16390163.21
First Digital USD,FDUSD,$1,-0.01,-0.03,0.05,$1449696240.12,$8107967255.05
Injective,INJ,$13.95,0.27,1.79,7.27,$1394768266.85,$153238250.63
Quant,QNT,$113.54,-0.18,2.56,0.32,$1370796391.12,$26921387.34
KuCoin Token,KCS,$10.23,-0.38,-2.82,-5.19,$1303222612.59,$6883183.47
Optimism,OP,$0.74,-0.15,6.55,12.12,$1300658459.85,$315823997.66
Stacks,STX,$0.72,-0.35,0.01,2.31,$1293040629.76,$62299867.1
Curve DAO Token,CRV,$0.94,0.21,2.33,3.01,$1288617848.69,$408670953.79
Celestia,TIA,$1.72,0.09,-0.19,3.08,$1270419370.79,$132503281.92
Pump.fun,PUMP,$0,-1.48,-3.8,15.72,$1174903093.78,$300001820.89
FLOKI,FLOKI,$0,0.17,1.03,5.74,$1107756486.42,$145461584.41
Conflux,CFX,$0.21,-0.08,-8.34,-1.04,$1083603321.28,$217541226.56
Immutable,IMX,$0.54,-0.12,0.92,5.95,$1031890391.12,$44097868.41
PayPal USD,PYUSD,$1,-0.01,-0.02,0,$1026073971.62,$38717488.11
Fartcoin,FARTCOIN,$1.01,0.54,3.18,-2,$1011318120.99,$235849435.58
Ethereum Name Service,ENS,$27.64,-0.24,1.91,5.85,$1011247981.85,$148413486.1
Lido DAO,LDO,$1.1,-0.57,9.23,16.37,$989771239.51,$244773350.56
The Graph,GRT,$0.09,0.28,-0.64,1.07,$978608875.66,$67605981.25
PAX Gold,PAXG,$3386.61,0.12,-0.03,1.2,$962414404.76,$93401476.24
PancakeSwap,CAKE,$2.75,-0.19,0.4,4.52,$949055219.37,$89567170.94
dogwifhat,WIF,$0.94,0.08,2.25,2.9,$942854557.77,$281934962.44
Kaia,KAIA,$0.15,0.39,2.23,1.73,$913513983.91,$26324460.63
Pendle,PENDLE,$5.34,-0.68,19.42,33.33,$892591711.82,$429563229.43
Virtuals Protocol,VIRTUAL,$1.33,0.01,1.58,7.47,$869839659.28,$161387179.68
Nexo,NEXO,$1.34,0.78,1.22,1.96,$863741177.18,$15837070.17
Sonic,S,$0.3,0.11,2.25,-6.46,$861073820.22,$119278829.69
Tezos,XTZ,$0.8,-0.3,1.61,3.35,$846255037.31,$56039541.9
Tether Gold,XAUt,$3389.49,0.16,0.08,1.41,$835591216.99,$97290950.87
Vaulta,A,$0.52,0.05,0.43,2.63,$829037486.09,$46894948.84
Aerodrome Finance,AERO,$0.93,0.73,16.13,17.11,$813612484.93,$96756248.69
Theta Network,THETA,$0.81,0.28,1.47,4.13,$810732837.41,$43634198.4
IOTA,IOTA,$0.2,0.11,1.2,7.06,$783417009.06,$33751427.61
JasmyCoin,JASMY,$0.02,0.45,2.24,3.11,$775247216.31,$54111065.65
Raydium,RAY,$2.84,-0.44,3.31,4.69,$760312523.3,$62110054.13
Gala,GALA,$0.02,0.2,3.31,7.14,$754358582.29,$169954019.58
The Sandbox,SAND,$0.29,0.06,2.24,5.08,$734405988.83,$64578874.67
DeXe,DEXE,$8.51,-0.7,0.79,17.98,$712857186.18,$9955061.05
MemeCore,M,$0.45,-0.25,-5.09,24.05,$705875620.28,$18337426.39
